type,barrier,tet,,barrier,1.2,1.22,1.24,1.26,1.28,1.3,1.32,1.34,1.36,1.38,1.4,1.42,1.44,1.46,1.48
Li-I-c-.60-v-1.32,0.2933,-0.0156,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.34,0.2609,-0.0894,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.36,0.2371,-0.1566,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.38,0.2229,-0.2177,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.40,0.2732,-0.2732,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.42,0.3236,-0.3236,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.44,0.3691,-0.3691,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.46,0.4104,-0.4104,,,,,,,,,,,,,,,,,
Li-I-c-.60-v-1.48,0.4475,-0.4475,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.20,1.1496,0.5825,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.22,0.9681,0.4559,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.24,0.8017,0.3404,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.26,0.6501,0.235,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.28,0.5115,0.1388,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.30,0.3849,0.0511,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.32,0.2982,-0.029,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.34,0.2655,-0.1019,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.36,0.2448,-0.1684,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.38,0.2305,-0.229,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.40,0.2841,-0.2841,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.42,0.3341,-0.3341,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.44,0.3796,-0.3796,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.46,0.4208,-0.4208,,,,,,,,,,,,,,,,,
Li-I-c-.65-v-1.48,0.458,-0.458,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.20,1.1465,0.5764,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.22,0.9647,0.4496,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.24,0.7989,0.334,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.26,0.6481,0.2286,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.28,0.5092,0.1325,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.30,0.3826,0.0446,,,,,,,,,,,,,,,,,
Li-I-c-.70-v-1.32,0.3026,-0.0353,,,,,,,,,,,,,,,,,
