type  barrier  tet,,,,,,,
Li-O-c-1.8-v-.94  0.4219  -0.2481
Li-O-c-1.8-v-.96  0.399  -0.343
Li-O-c-1.8-v-.98  0.4276  -0.4276
Li-O-c-1.8-v-1.00  0.4987  -0.4987
Li-O-c-1.8-v-1.02  0.5611  -0.5611
Li-O-c-1.8-v-1.04  0.6152  -0.6152
Li-O-c-1.8-v-1.06  0.6609  -0.6609
type  barrier  tet
Li-O-c-.5-v-.84  1.5504  1.0119
Li-O-c-.5-v-.86  1.2921  0.8106
Li-O-c-.5-v-.88  1.0634  0.6337
Li-O-c-.5-v-.90  0.8599  0.4759
Li-O-c-.5-v-.92  0.6787  0.3379
Li-O-c-.5-v-.94  0.5162  0.214
Li-O-c-.5-v-.96  0.3718  0.1048
Li-O-c-.5-v-.98  0.2424  0.0065
Li-O-c-.5-v-1.00  0.2064  -0.0791
Li-O-c-.5-v-1.02  0.198  -0.1553
Li-O-c-.5-v-1.04  0.223  -0.223
Li-O-c-.5-v-1.06  0.2795  -0.2795
Li-O-c-.6-v-.84  1.5166  0.9634
Li-O-c-.6-v-.86  1.2565  0.7619
Li-O-c-.6-v-.88  1.0263  0.5852
Li-O-c-.6-v-.90  0.8222  0.4284
Li-O-c-.6-v-.92  0.6407  0.2915
Li-O-c-.6-v-.94  0.478  0.1683
Li-O-c-.6-v-.96  0.3336  0.0604
Li-O-c-.6-v-.98  0.241  -0.0373
Li-O-c-.6-v-1.00  0.2192  -0.1217
Li-O-c-.6-v-1.02  0.2074  -0.1975
Li-O-c-.6-v-1.04  0.2646  -0.2646
Li-O-c-.6-v-1.06  0.3209  -0.3209
Li-O-c-.7-v-.84  1.4819  0.9083
Li-O-c-.7-v-.86  1.2206  0.7095
Li-O-c-.7-v-.88  0.9893  0.535
Li-O-c-.7-v-.90  0.7842  0.3797
Li-O-c-.7-v-.92  0.6018  0.2442
Li-O-c-.7-v-.94  0.4394  0.1224
Li-O-c-.7-v-.96  0.2944  0.0156
Li-O-c-.7-v-.98  0.247  -0.0809
Li-O-c-.7-v-1.00  0.2324  -0.164
Li-O-c-.7-v-1.02  0.2386  -0.2386
